Meeting Title: Sebastian Greco and Thomas Guillet
Date: Jul 6
Meeting participants: Greco Sebastian, Thomas G.

Transcript:
 Thomas Guillet: Hello, Sebast. Ian.  
Me: Hello, how are you?  Thomas Guillet: Good, good, good. Nice to meet you.  
Me: Oh. Wow.  Thomas Guillet: So we have had quite a huge growth. Pennylane is one of the latest unicorn 4 billion valuations. So it's quite crazy. The growth we have and we will probably open new markets after Germany. So speaking about this whole in particular, I would say that we were still in an hyper growth scale and phase. So we are hiring continuously new people. So I can't give you at this stage of the precise scope. But I know that the senior role is basically a manager of managers position. You, you can be expected to manage maybe four to five direct reports managing, you know, themselves individual contributors. So you will be overseeing maybe four to five squats in a dedicated business track. I know that we have a few openings at the moment for our platform, for our business insights team and so on. But let's see how it goes. So it's a purely hands off position. You will be able to collaborate with the head of product and senior design manager, as well as taking initiatives outside of your, of your scope on a day to day. So, yes, we, we are basically opening a new position to follow the scale and the hyper growth of the company. I mean, as long as we continue to, to hire lots of new IC, we, we need to stuff the, the man. Yeah.  
Me: We need to expand also the managing layer in reverse it was always the same like we had opening like positions that were open like just we kept.  Thomas Guillet: Yes. Definitely. So at the moment, we have more than 40 squads. We will reach up to 60 squads by the end of the year and Pennylane tech team is composed of 400 people at the moment. So it's quite. Huge.  
Me: Wow. Kud. Os.  Thomas Guillet: So.  
Me: Okay.  Thomas Guillet: Rry. To go.  
Me: A lot of like hiring at this rate is not easy like you said from 40 to 60 crap.  Thomas Guillet: Yeah, yeah.  
Me: That's oh my okay.  Thomas Guillet: Yes. Quite a lot, but it's going well.  
Me: Yeah yeah nice nice okay and what about the compensation I didn't found it in the thing what is the range there you're managing for like your. Pointing.  Thomas Guillet: I open if I have shared with you through mail.  
Me: No.  Thomas Guillet: So when should we usually propose? No.  
Me: I. Don't make did I miss it? Oh.  Thomas Guillet: Yes. Yes. Because you say the 110 to 106. I don't know. It's good. Generally speaking, I, I do it. But yes, normally I have shared with you the.  
Me: Yeah 100 110 you did you did sorry my bad.  Thomas Guillet: Jet. Yes.  
Me: Yes 100 110.  Thomas Guillet: Let's see if I know that for Italy we are not maybe the most competitive compared to the countries.  
Me: I had never worked in Italy like in 10 years that I'm here never worked I don't even know how much they yes.  Thomas Guillet: But normally, yes, we. Okay. But we. Okay. But yes, we, we generally have budget between 100 to 100k. 10K. We are adding stock option and so on. So I don't really know if it can fit or not your expectations.  
Me: I think it it is there but again I'm looking also to something interesting like something growing. Like. And also looking at the position not only that of course I wasn't around 120 back then but it was Tel Aviv Israel is another market it's a completely different. Thing so this is still between my range so it's fine I remember now what I saw it like it was just it's fine sorry okay no I think I don't have more questions that's all.  Thomas Guillet: So maybe a last one for me. So you are still based in Italy. Is that. Right?  
Me: Yes I am Milan like up north 20 kilometers from milan up north. Yes.  Thomas Guillet: Just for you to know we don't have any legal entity in Italy at the moment, but we use too high a full remotely across Europe. It means that, for example, in Italy we are working with the local provider. Called the deal.com.  
Me: I know we used to the same and reverse side yeah.  Thomas Guillet: Okay. And generally people in Italy are employed as an employer of record. S. So not B2B or type of contract. So an equivalent of a full time. Employment contract. But just for you to know.  
Me: You get the. Yeah no no if it's there I know it because we hire also here in Italy with riverside I know the deal.  Thomas Guillet: Okay.  
Me: Yeah I know the deal about deal yeah.  Thomas Guillet: Okay. Great. So, I mean, all good to me for the intro. Do you want to add any, any other questions or subject?  
Me: No I think that's it's a pleasure to meet you and thank you for your time.  Thomas Guillet: You're welcome, Sebastian. I'm going to follow up maybe Russia with you our candidates book by tomorrow.  
Me: Okay.  Thomas Guillet: And I'll keep your posts for the next age. But generally you can expect to have. A formal stages after me. So there is a longer introduction with someone from the tech top leadership. Then you have a kind of system in design interview.  
Me: Yeah.  Thomas Guillet: With two people from. The two people from the tech team. Then you will have a product discussion with a lot of products slash senior design manager. So your potential. Counterpart tomorrow is in the. Trio. And then just a final culture discussion with two other people from the tech leadership. So, yes, more people management oriented discussion to, to finish.  
Me: Thank you very much.  Thomas Guillet: You're welcome. Have a good beginning of your week and I'll keep you. Posted.  
Me: Same same bye bye.  Thomas Guillet: Bye.
